rank,scaler,class_weight,c_value,threshold,accuracy,precision_archeologique,recall_archeologique,f1_archeologique,fold_f1_mean,fold_f1_std,false_negatives,false_positives,true_positives,true_negatives
29,none,balanced,0.3,0.55,0.7876712328767124,0.7391304347826086,0.6415094339622641,0.6868686868686869,0.6382058401408248,0.2807657731472126,38,24,68,162
30,standard,balanced,0.01,0.55,0.7808219178082192,0.7142857142857143,0.660377358490566,0.6862745098039216,0.6561470773235478,0.2564479811805898,36,28,70,158
31,normalizer,none,10.0,0.4,0.7808219178082192,0.7142857142857143,0.660377358490566,0.6862745098039216,0.6165715392926323,0.27032133100779315,36,28,70,158
32,none,balanced,3.0,0.45,0.773972602739726,0.6923076923076923,0.6792452830188679,0.6857142857142857,0.6360700582527208,0.2841413131285364,34,32,72,154
33,none,balanced,1.0,0.4,0.7705479452054794,0.6822429906542056,0.6886792452830188,0.6854460093896714,0.6360160771461081,0.28536133510168044,33,34,73,152
34,none,balanced,3.0,0.4,0.7705479452054794,0.6822429906542056,0.6886792452830188,0.6854460093896714,0.6360160771461081,0.28536133510168044,33,34,73,152
35,none,none,3.0,0.35,0.7705479452054794,0.6822429906542056,0.6886792452830188,0.6854460093896714,0.6360160771461081,0.28536133510168044,33,34,73,152
36,none,balanced,0.03,0.45,0.7671232876712328,0.6727272727272727,0.6981132075471698,0.6851851851851852,0.6322698935051875,0.271514936907976,32,36,74,150
37,none,balanced,10.0,0.3,0.7671232876712328,0.6727272727272727,0.6981132075471698,0.6851851851851852,0.6336221377521686,0.28278722373749215,32,36,74,150
38,standard,balanced,0.3,0.4,0.7636986301369864,0.6637168141592921,0.7075471698113207,0.684931506849315,0.6600165268243071,0.2221138539025663,31,38,75,148
39,standard,balanced,10.0,0.3,0.7636986301369864,0.6637168141592921,0.7075471698113207,0.684931506849315,0.6679001247079049,0.22666896731695965,31,38,75,148
40,standard,none,1.0,0.3,0.7602739726027398,0.6551724137931034,0.7169811320754716,0.6846846846846847,0.6654398072475876,0.21717524413316877,30,40,76,146
41,none,none,0.1,0.3,0.7602739726027398,0.6551724137931034,0.7169811320754716,0.6846846846846847,0.6298023610376551,0.2764307209692277,30,40,76,146
42,standard,none,0.01,0.35,0.7191780821917808,0.577922077922078,0.839622641509434,0.6846153846153846,0.6833768115942028,0.14699097550171739,17,65,89,121
43,standard,balanced,0.01,0.35,0.7157534246575342,0.5732484076433121,0.8490566037735849,0.6844106463878327,0.6816591594592671,0.14422349311510188,16,67,90,119
44,none,balanced,0.1,0.35,0.7534246575342466,0.639344262295082,0.7358490566037735,0.6842105263157895,0.6322203134556076,0.2528681706991714,28,44,78,142
45,normalizer,balanced,10.0,0.4,0.7465753424657534,0.625,0.7547169811320755,0.6837606837606838,0.6399093313620167,0.24052699965534616,26,48,80,138
46,robust,none,0.01,0.45,0.7876712328767124,0.7444444444444445,0.6320754716981132,0.6836734693877551,0.6566697790227203,0.26387009146057383,39,23,67,163
47,standard,balanced,0.1,0.35,0.7431506849315068,0.6183206106870229,0.7641509433962265,0.6835443037974683,0.6774060085181367,0.18779788079943205,25,50,81,136
48,standard,none,0.03,0.55,0.7773972602739726,0.7070707070707071,0.660377358490566,0.6829268292682927,0.6497927837058272,0.24763360368071288,36,29,70,157
49,none,none,1.0,0.4,0.773972602739726,0.696078431372549,0.6698113207547169,0.6826923076923077,0.6329361551188176,0.279987622291546,35,31,71,155
50,standard,none,10.0,0.35,0.7671232876712328,0.6759259259259259,0.6886792452830188,0.6822429906542056,0.6599636167713971,0.2268521357781237,33,35,73,151
51,none,balanced,10.0,0.35,0.7671232876712328,0.6759259259259259,0.6886792452830188,0.6822429906542056,0.629955471085502,0.2784481971119521,33,35,73,151
52,none,none,0.3,0.35,0.7671232876712328,0.6759259259259259,0.6886792452830188,0.6822429906542056,0.6334129025429334,0.2835587039573059,33,35,73,151
53,none,none,10.0,0.3,0.7671232876712328,0.6759259259259259,0.6886792452830188,0.6822429906542056,0.629955471085502,0.2784481971119521,33,35,73,151
54,standard,balanced,0.03,0.3,0.7191780821917808,0.5789473684210527,0.8301886792452831,0.6821705426356589,0.6762727426823536,0.15272789375171358,18,64,88,122
55,standard,balanced,3.0,0.35,0.7636986301369864,0.6666666666666666,0.6981132075471698,0.6820276497695853,0.6658895426973229,0.22114564300040712,32,37,74,149
56,none,none,1.0,0.3,0.7636986301369864,0.6666666666666666,0.6981132075471698,0.6820276497695853,0.6297332488632797,0.2774340022380965,32,37,74,149
57,none,balanced,1.0,0.3,0.7602739726027398,0.6578947368421053,0.7075471698113207,0.6818181818181818,0.6278815041167981,0.27625926110471777,31,39,75,147
58,none,none,0.3,0.3,0.7602739726027398,0.6578947368421053,0.7075471698113207,0.6818181818181818,0.6262670075023016,0.273177773045595,31,39,75,147
59,standard,balanced,3.0,0.3,0.7568493150684932,0.6495726495726496,0.7169811320754716,0.6816143497757847,0.6633369371140269,0.22330420780034788,30,41,76,145
60,standard,none,0.3,0.35,0.7568493150684932,0.6495726495726496,0.7169811320754716,0.6816143497757847,0.6549329846355019,0.21727058943452315,30,41,76,145
61,standard,none,0.1,0.3,0.7363013698630136,0.6074074074074074,0.7735849056603774,0.6804979253112033,0.6735469252782484,0.18490853972940632,24,53,82,133
62,standard,none,0.1,0.55,0.7773972602739726,0.711340206185567,0.6509433962264151,0.6798029556650246,0.6514186432264234,0.23586463151342715,37,28,69,158
63,none,balanced,0.3,0.5,0.773972602739726,0.7,0.660377358490566,0.6796116504854369,0.6303762422647872,0.27292669460004176,36,30,70,156
64,none,balanced,1.0,0.45,0.7705479452054794,0.6893203883495146,0.6698113207547169,0.6794258373205742,0.629232451415114,0.2820812379304239,35,32,71,154
65,none,balanced,10.0,0.4,0.7671232876712328,0.6792452830188679,0.6792452830188679,0.6792452830188679,0.6316043124402257,0.2810889382627004,34,34,72,152
66,none,balanced,3.0,0.35,0.7636986301369864,0.6697247706422018,0.6886792452830188,0.6790697674418604,0.6286221377521687,0.279114376710839,33,36,73,150
67,none,none,3.0,0.3,0.7636986301369864,0.6697247706422018,0.6886792452830188,0.6790697674418604,0.6286221377521687,0.279114376710839,33,36,73,150
68,standard,none,1.0,0.35,0.7602739726027398,0.6607142857142857,0.6981132075471698,0.6788990825688074,0.6546803923705257,0.2195029393210782,32,38,74,148
69,standard,none,10.0,0.3,0.7602739726027398,0.6607142857142857,0.6981132075471698,0.6788990825688074,0.6624581701483033,0.21825481460495472,32,38,74,148
70,none,none,0.03,0.35,0.7602739726027398,0.6607142857142857,0.6981132075471698,0.6788990825688074,0.6238860551213492,0.2651131462586711,32,38,74,148
71,normalizer,balanced,10.0,0.3,0.6952054794520548,0.5497076023391813,0.8867924528301887,0.6787003610108303,0.6846590398478942,0.14505442979772656,12,77,94,109
72,none,none,0.03,0.3,0.7465753424657534,0.6290322580645161,0.7358490566037735,0.6782608695652174,0.6284931646826922,0.25229559557701686,28,46,78,140
73,none,balanced,0.01,0.4,0.7431506849315068,0.6220472440944882,0.7452830188679245,0.6781115879828327,0.6272458434811375,0.2548074106050841,27,48,79,138
74,standard,balanced,0.3,0.3,0.7363013698630136,0.6090225563909775,0.7641509433962265,0.6778242677824268,0.6793302051791754,0.16518629750124894,25,52,81,134
75,normalizer,balanced,3.0,0.45,0.7363013698630136,0.6090225563909775,0.7641509433962265,0.6778242677824268,0.6387478099242805,0.23732224792434944,25,52,81,134
76,none,none,0.01,0.45,0.791095890410959,0.7710843373493976,0.6037735849056604,0.6772486772486772,0.5987949196772727,0.3144746074644435,42,19,64,167
77,none,none,0.1,0.5,0.7876712328767124,0.7558139534883721,0.6132075471698113,0.6770833333333334,0.6223512600878329,0.28567779341276245,41,21,65,165
78,standard,balanced,0.03,0.6,0.7773972602739726,0.7157894736842105,0.6415094339622641,0.6766169154228856,0.648466567209332,0.25141339439888055,38,27,68,159
79,standard,balanced,0.1,0.6,0.773972602739726,0.7040816326530612,0.6509433962264151,0.6764705882352942,0.6490794619398738,0.23587580075977913,37,29,69,157
80,standard,none,0.3,0.55,0.773972602739726,0.7040816326530612,0.6509433962264151,0.6764705882352942,0.6475297543375346,0.23162725008531243,37,29,69,157
81,standard,balanced,1.0,0.55,0.7705479452054794,0.693069306930693,0.660377358490566,0.6763285024154589,0.6438260506338308,0.22685411357107396,36,31,70,155
82,standard,balanced,3.0,0.55,0.7705479452054794,0.693069306930693,0.660377358490566,0.6763285024154589,0.6428633875659047,0.2277003333607162,36,31,70,155
83,standard,balanced,10.0,0.55,0.7705479452054794,0.693069306930693,0.660377358490566,0.6763285024154589,0.6428633875659047,0.2277003333607162,36,31,70,155
84,standard,balanced,10.0,0.4,0.7636986301369864,0.6728971962616822,0.6792452830188679,0.676056338028169,0.6480588548666352,0.2265000995165751,34,35,72,151
85,standard,none,0.1,0.45,0.7636986301369864,0.6728971962616822,0.6792452830188679,0.676056338028169,0.6455689700238091,0.22384110008914404,34,35,72,151
86,standard,balanced,10.0,0.35,0.7602739726027398,0.6636363636363637,0.6886792452830188,0.6759259259259259,0.6547784315862119,0.224981157118215,33,37,73,149
87,standard,balanced,0.1,0.45,0.7568493150684932,0.6548672566371682,0.6981132075471698,0.6757990867579908,0.6458688387635757,0.22526933901997584,32,39,74,147
88,normalizer,balanced,10.0,0.45,0.7534246575342466,0.646551724137931,0.7075471698113207,0.6756756756756757,0.6157048996182122,0.26709377731445055,31,41,75,145
89,standard,none,0.3,0.3,0.7397260273972602,0.6171875,0.7452830188679245,0.6752136752136753,0.6635564273001344,0.22387211980732405,27,49,79,137
90,normalizer,none,3.0,0.35,0.7363013698630136,0.6106870229007634,0.7547169811320755,0.6751054852320675,0.636007398871849,0.23470966066960933,26,51,80,135
91,robust,balanced,0.01,0.35,0.7328767123287672,0.6044776119402985,0.7641509433962265,0.675,0.6696585200145573,0.20743863475866392,25,53,81,133
92,none,balanced,0.03,0.3,0.7294520547945206,0.5985401459854015,0.7735849056603774,0.6748971193415638,0.6273249767188385,0.2318226601629478,24,55,82,131
93,standard,balanced,0.1,0.3,0.726027397260274,0.5928571428571429,0.7830188679245284,0.6747967479674797,0.6705070022383254,0.1587668077099761,23,57,83,129
94,standard,balanced,0.03,0.35,0.7226027397260274,0.5874125874125874,0.7924528301886793,0.6746987951807228,0.6697540514853747,0.1529126699094235,22,59,84,127
95,none,balanced,0.01,0.35,0.7157534246575342,0.5771812080536913,0.8113207547169812,0.6745098039215687,0.6381061292047965,0.23710453403234552,20,63,86,123
96,none,none,0.1,0.55,0.7945205479452054,0.7948717948717948,0.5849056603773585,0.6739130434782609,0.6212494860448826,0.2770830028257686,44,16,62,170
97,standard,none,0.01,0.6,0.7876712328767124,0.7619047619047619,0.6037735849056604,0.6736842105263158,0.6086973048737755,0.3209362515743713,42,20,64,166
98,none,balanced,1.0,0.55,0.7773972602739726,0.7204301075268817,0.6320754716981132,0.6733668341708543,0.6279909478206692,0.26996603942062186,39,26,67,160
99,robust,balanced,0.01,0.5,0.773972602739726,0.7083333333333334,0.6415094339622641,0.6732673267326733,0.6520321655232142,0.2626773330023318,38,28,68,158
100,standard,balanced,0.3,0.6,0.7705479452054794,0.696969696969697,0.6509433962264151,0.6731707317073171,0.6416038284116087,0.22645587351491653,37,30,69,156
101,standard,none,1.0,0.55,0.7705479452054794,0.696969696969697,0.6509433962264151,0.6731707317073171,0.6416038284116087,0.22645587351491653,37,30,69,156
102,standard,none,3.0,0.55,0.7705479452054794,0.696969696969697,0.6509433962264151,0.6731707317073171,0.6416038284116087,0.22645587351491653,37,30,69,156
103,standard,none,10.0,0.55,0.7705479452054794,0.696969696969697,0.6509433962264151,0.6731707317073171,0.6382235829261,0.23715238879274608,37,30,69,156
104,normalizer,balanced,10.0,0.5,0.7705479452054794,0.696969696969697,0.6509433962264151,0.6731707317073171,0.6110867637768972,0.2558829363771886,37,30,69,156
105,none,balanced,1.0,0.5,0.7705479452054794,0.696969696969697,0.6509433962264151,0.6731707317073171,0.6253762422647872,0.2690589954785982,37,30,69,156
106,standard,none,10.0,0.5,0.7671232876712328,0.6862745098039216,0.660377358490566,0.6730769230769231,0.6409586256611427,0.2295965718022678,36,32,70,154
107,standard,none,1.0,0.45,0.7636986301369864,0.6761904761904762,0.6698113207547169,0.6729857819905213,0.6432083676632067,0.22448461261605554,35,34,71,152
108,none,none,10.0,0.35,0.7636986301369864,0.6761904761904762,0.6698113207547169,0.6729857819905213,0.62589002672594,0.27846653645861075,35,34,71,152
