pair_id,site,secteur,years,rgb_2013,rgb_2015,rgb_2019,rgb_2025,rgb_2026,same_extent,same_resolution,usable_for_detection,usable_for_change,commentaire
olbia_output_1,olbia,output_1,"2013;2015;2019;2025;2026",data/coastline/orthophoto/2013/output_1.png,data/coastline/orthophoto/2015/output_1.png,data/coastline/orthophoto/2019/output_1.png,data/coastline/orthophoto/2025/output_1.png,data/coastline/orthophoto/2026/output_1.png,yes,yes,yes,yes,
olbia_output_2,olbia,output_2,"2013;2015;2019;2025;2026",data/coastline/orthophoto/2013/output_2.png,data/coastline/orthophoto/2015/output_2.png,data/coastline/orthophoto/2019/output_2.png,data/coastline/orthophoto/2025/output_2.png,data/coastline/orthophoto/2026/output_2.png,yes,yes,yes,yes,
olbia_output_3,olbia,output_3,"2013;2015;2019;2025;2026",data/coastline/orthophoto/2013/output_3.png,data/coastline/orthophoto/2015/output_3.png,data/coastline/orthophoto/2019/output_3.png,data/coastline/orthophoto/2025/output_3.png,data/coastline/orthophoto/2026/output_3.png,yes,yes,yes,yes,
olbia_output_4,olbia,output_4,"2013;2015;2019;2025;2026",data/coastline/orthophoto/2013/output_4.png,data/coastline/orthophoto/2015/output_4.png,data/coastline/orthophoto/2019/output_4.png,data/coastline/orthophoto/2025/output_4.png,data/coastline/orthophoto/2026/output_4.png,yes,yes,yes,yes,
olbia_output_5,olbia,output_5,"2013;2015;2019;2025;2026",data/coastline/orthophoto/2013/output_5.png,data/coastline/orthophoto/2015/output_5.png,data/coastline/orthophoto/2019/output_5.png,data/coastline/orthophoto/2025/output_5.png,data/coastline/orthophoto/2026/output_5.png,yes,yes,yes,yes,
olbia_output_6,olbia,output_6,"2013;2015;2019;2025;2026",data/coastline/orthophoto/2013/output_6.png,data/coastline/orthophoto/2015/output_6.png,data/coastline/orthophoto/2019/output_6.png,data/coastline/orthophoto/2025/output_6.png,data/coastline/orthophoto/2026/output_6.png,yes,yes,yes,yes,
